tagname,body
"cep","Complex event processing (CEP) consists of high-speed processing of many events across all the layers of an organization."
"rel","The rel attribute specifies the relationship between the current document and the linked document"
"imagesource",""
"blackberry-storm","The BlackBerry Storm is a series of touch screen smartphones manufactured by Research In Motion."
"progressive-enhancement","Progressive enhancement uses web technologies in a layered fashion that allows everyone to access the basic content and functionality of a web page (regardless of browser) and providing an enhanced experience to those with better bandwidth, more advanced browser features or more experience."
"icefaces-3","ICEfaces is an open-source Rich Internet Application (RIA) development framework based on the JavaServer Faces 2 Standard. "
"modelica","Modelling language for multi-domain physical and control systems."
"uiresponder","The UIResponder class defines an interface for objects that respond to and handle events. It is the superclass of UIApplication, UIView and its subclasses (which include UIWindow). Instances of these classes are sometimes referred to as responder objects or, simply, responders."
"heroku-postgres",""
"difference","This tag may refer to 1) the difference between two numbers (i.e. the difference between 5 and 10 is 5) or 2) the things that two or more particular objects do not share in common."
"manifest.mf","In software packaging, it is common to list the contents of a distribution in a manifest file"
"subform",""
"quadratic",""
"var-dump","var_dump is a PHP function that dumps information about a variable."
"wmv","WMV, or Windows Media Video, is a video compression and container format created by Microsoft for several proprietary codecs."
"delimited-text",""
"alloy","Alloy from MIT is a declarative specification language for expressing complex structural constraints and behavior in a software system, and a tool for exploring and checking properties of the resulting structures."
"winrt-async","This is a tag for Windows Runtime's introduced with Windows 8 for Windows Store (previously called ""Metro Style"") Apps.   Async calls allow you to call a method without having to wait for it's response, and thus allowing you to call a method and not have the whole application freeze while its waiting for a response."
"android-memory","android-memory is generally Runtime Memory of Android device. This is the memory which is required run time for the execution of application or process or service. Typically RAM plays this role."
"threadpoolexecutor",""
"invalidcastexception",""
"fuseesb","Fuse ESB - an open-source, standards-based integration platform."
"htmltidy","HTML Tidy is an html formatter used to pretty print existing markup."
"ienumerator","IEnumerator interface allows you to iterate through any custom collection."
"oc4j","OC4J is the Oracle Application Server (Oracle Container 4 Java, formerly Orion), up to Oracle 10g."
"processing-efficiency",""
"mismatch",""
"corpus","A corpus most commonly refers to a collection of structure text."
"jmenubar","Java swing implementation of a menu bar. JMenu objects are added to the menu bar to construct a menu. "
"childbrowser","A Phonegap plugin to load external pages"
"remoteview","A class specific to Android that describes a view hierarchy that can be displayed in another process. The hierarchy is inflated from a layout resource file, and this class provides some basic operations for modifying the content of the inflated hierarchy."
